Class Name,API Name,Number of Input Parameter,Input Parameter Types,List of Methods Invoked
Lcom/android/server/notification/NotificationManagerService,setNotificationListenerAccessGrantedForUser,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Landroid/content/ComponentName>, <Primordial,I>, <Primordial,Z>]","['savePolicyFile', 'restoreCallingIdentity', 'test', 'flattenToString', 'access$5100', 'access$5200', 'setPackage', 'sendBroadcastAsUser', 'setPackageOrComponentEnabled', '<init>', 'access$900', 'access$800', 'checkNotNull', 'addFlags', 'of', 'clearCallingIdentity', 'getPackageName', 'getContext']"
Lcom/android/server/notification/NotificationManagerService,setNotificationPolicy,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Landroid/app/NotificationManager$Policy>]","['restoreCallingIdentity', 'enforcePolicyAccess', 'traceSetNotificationPolicy', 'clearCallingIdentity', 'getNotificationPolicy', 'setNotificationPolicy', 'access$1200', 'access$1300', '<init>', 'getApplicationInfo', 'calculateSuppressedVisualEffects', 'getUserId']"
Lcom/android/server/notification/NotificationManagerService,setNotificationPolicyAccessGranted,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,Z>]","['getCallingUserHandle', 'getIdentifier', 'setNotificationPolicyAccessGrantedForUser']"
Lcom/android/server/notification/NotificationManagerService,setNotificationPolicyAccessGrantedForUser,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Primordial,Z>]","['savePolicyFile', 'restoreCallingIdentity', 'test', 'access$5100', 'access$5200', 'setPackage', 'sendBroadcastAsUser', 'setPackageOrComponentEnabled', '<init>', 'access$900', 'addFlags', 'of', 'clearCallingIdentity', 'getContext']"
Lcom/android/server/notification/NotificationManagerService,setNotificationsEnabledForPackage,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Primordial,Z>]","['access$700', 'access$600', 'savePolicyFile', 'enforceSystemOrSystemUI', 'setPackage', 'sendBroadcastAsUser', 'setPackageName', '<init>', 'setType', 'cancelAllNotificationsInt', 'setEnabled', 'putExtra', 'addFlags', 'setSubtype', 'of', 'w', 'access$1300', 'access$1400', 'write', 'getContext', 'getUserId']"
Lcom/android/server/notification/NotificationManagerService,setNotificationsEnabledWithImportanceLockForPackage,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Primordial,Z>]","['access$700', 'setNotificationsEnabledForPackage', 'setAppImportanceLocked']"
Lcom/android/server/notification/NotificationManagerService,setShowBadge,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Primordial,Z>]","['access$700', 'savePolicyFile', 'setShowBadge', 'access$2900']"
Lcom/android/server/notification/NotificationManagerService,setZenMode,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Primordial,I>, <Application,Landroid/net/Uri>, <Application,Ljava/lang/String>]","['setManualZenMode', 'restoreCallingIdentity', 'enforceSystemOrSystemUI', 'clearCallingIdentity']"
Lcom/android/server/notification/NotificationManagerService,updateAutomaticZenRule,3,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Application,Landroid/app/AutomaticZenRule>]","['getCallingUid', 'checkNotNull', 'getName', 'enforcePolicyAccess', 'getConditionId', 'updateAutomaticZenRule', 'getOwner']"
Lcom/android/server/notification/NotificationManagerService,updateNotificationChannelForPackage,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Application,Landroid/app/NotificationChannel>]","['checkNotNull', 'enforceSystemOrSystemUI', 'access$3100']"
Lcom/android/server/notification/NotificationManagerService,updateNotificationChannelGroupForPackage,4,"[<Application,Lcom/android/server/notification/NotificationManagerService$10>, <Application,Ljava/lang/String>, <Primordial,I>, <Application,Landroid/app/NotificationChannelGroup>]","['savePolicyFile', 'access$3000', 'enforceSystemOrSystemUI']"
Lcom/android/server/wifi/rtt/RttService,cancelRanging,2,"[<Application,Lcom/android/server/wifi/rtt/RttServiceImpl>, <Application,Landroid/os/WorkSource>]","['clearNames', 'enforceLocationHardware', 'post', 'e', 'isEmpty', 'toString', '<init>', 'append']"
Lcom/android/server/wifi/rtt/RttService,isAvailable,1,"[<Application,Lcom/android/server/wifi/rtt/RttServiceImpl>]","['isLocationEnabled', 'isReady', 'isDeviceIdleMode']"
Lcom/android/server/wifi/rtt/RttService,startRanging,6,"[<Application,Lcom/android/server/wifi/rtt/RttServiceImpl>, <Application,Landroid/os/IBinder>, <Application,Ljava/lang/String>, <Application,Landroid/os/WorkSource>, <Application,Landroid/net/wifi/rtt/RangingRequest>, <Application,Landroid/net/wifi/rtt/IRttCallback>]","['next', 'isAvailable', 'clearNames', 'e', 'enforceChangePermission', 'checkLocationHardware', 'getMockableCallingUid', 'hasNext', 'onRangingFailure', '<init>', 'enforceValidity', 'iterator', 'enforceLocationHardware', 'size', 'post', 'recordOverallStatus', 'toString', 'enforceAccessPermission', 'getControlParam', 'linkToDeath', 'append', 'enforceFineLocationPermission']"
